L0-1001,我,我,wǒ,N,
L0-1002,你/妳,你,nǐ,N,"[{""Traditional"": ""你"", ""Simplified"": ""你"", ""Pinyin"": ""nǐ""}, {""Traditional"": ""妳"", ""Simplified"": ""你"", ""Pinyin"": ""nǐ""}]"
L0-1003,他/她,他/她,tā,N,"[{""Traditional"": ""他"", ""Simplified"": ""他"", ""Pinyin"": ""tā""}, {""Traditional"": ""她"", ""Simplified"": ""她"", ""Pinyin"": ""tā""}]"
L0-1004,我們,我们,wǒmen,N,
L0-1005,你們/妳們,你们,nǐmen,N,"[{""Traditional"": ""你們"", ""Simplified"": ""你们"", ""Pinyin"": ""nǐmen""}, {""Traditional"": ""妳們"", ""Simplified"": ""你们"", ""Pinyin"": ""nǐmen""}]"
L0-1006,他們/她們,他们/她们,tāmen,N,"[{""Traditional"": ""他們"", ""Simplified"": ""他们"", ""Pinyin"": ""tāmen""}, {""Traditional"": ""她們"", ""Simplified"": ""她们"", ""Pinyin"": ""tāmen""}]"
L0-1007,您,您,nín,N,
L0-1008,誰,谁,shéi,N,
L0-1009,姓名,姓名,xìngmíng,N,
L0-1010,人,人,rén,N,
L0-1011,國,国,guó,N,
L0-1012,中國,中国,Zhōngguó,N,
L0-1013,美國,美国,Měiguó,N,
L0-1014,日本,日本,Rìběn,N,
L0-1015,台灣/臺灣,台湾,Táiwān,N,"[{""Traditional"": ""台灣"", ""Simplified"": ""台湾"", ""Pinyin"": ""Táiwān""}, {""Traditional"": ""臺灣"", ""Simplified"": ""台湾"", ""Pinyin"": ""Táiwān""}]"
L0-1016,名字,名字,míngzi,N,
L0-1017,家,家,jiā,N,
L0-1018,電話,电话,diànhuà,N,
L0-1019,時間,时间,shíjiān,N,
L0-1020,小時,小时,xiǎoshí,N,
L0-1021,現在,现在,xiànzài,N,
L0-1022,今年,今年,jīnnián,N,
L0-1023,今天,今天,jīntiān,N,
L0-1024,明天,明天,míngtiān,N,
L0-1025,昨天,昨天,zuótiān,N,
L0-1026,早上,早上,zǎoshàng,N,
L0-1027,上午,上午,shàngwǔ,N,
L0-1028,中午,中午,zhōngwǔ,N,
L0-1029,下午,下午,xiàwǔ,N,
L0-1030,晚上,晚上,wǎnshàng,N,
L0-1031,一,一,yī,N,
L0-1032,二,二,èr,N,
L0-1033,三,三,sān,N,
L0-1034,四,四,sì,N,
L0-1035,五,五,wǔ,N,
L0-1036,六,六,liù,N,
L0-1037,七,七,qī,N,
L0-1038,八,八,bā,N,
L0-1039,九,九,jiǔ,N,
L0-1040,十,十,shí,N,
L0-1041,兩,两,liǎng,N,
L0-1042,時候,时候,shíhòu,N,
L0-1043,百,百,bǎi,N,
L0-1044,半,半,bàn,N,
L0-1045,千,千,qiān,N,
L0-1046,爸爸/爸,爸爸/爸,bàba/bà,N,"[{""Traditional"": ""爸爸"", ""Simplified"": ""爸爸"", ""Pinyin"": ""bàba""}, {""Traditional"": ""爸"", ""Simplified"": ""爸"", ""Pinyin"": ""bà""}]"
L0-1047,媽媽/媽,妈妈/妈,māma/mā,N,"[{""Traditional"": ""媽媽"", ""Simplified"": ""妈妈"", ""Pinyin"": ""māma""}, {""Traditional"": ""媽"", ""Simplified"": ""妈"", ""Pinyin"": ""mā""}]"
L0-1048,哥哥/哥,哥哥/哥,gēge/gē,N,"[{""Traditional"": ""哥哥"", ""Simplified"": ""哥哥"", ""Pinyin"": ""gēge""}, {""Traditional"": ""哥"", ""Simplified"": ""哥"", ""Pinyin"": ""gē""}]"
L0-1049,弟弟/弟,弟弟/弟,dìdi/dì,N,"[{""Traditional"": ""弟弟"", ""Simplified"": ""弟弟"", ""Pinyin"": ""dìdi""}, {""Traditional"": ""弟"", ""Simplified"": ""弟"", ""Pinyin"": ""dì""}]"
L0-1050,姊姊/姐姐/姊/姐,姊姊/姐姐/姊/姐,jiějie/jiě,N,"[{""Traditional"": ""姊姊"", ""Simplified"": ""姊姊"", ""Pinyin"": ""jiějie""}, {""Traditional"": ""姐姐"", ""Simplified"": ""姐姐"", ""Pinyin"": ""jiějie""}, {""Traditional"": ""姊"", ""Simplified"": ""姊"", ""Pinyin"": ""jiě""}, {""Traditional"": ""姐"", ""Simplified"": ""姐"", ""Pinyin"": ""jiě""}]"
L0-1051,妹妹/妹,妹妹/妹,mèimei/mèi,N,"[{""Traditional"": ""妹妹"", ""Simplified"": ""妹妹"", ""Pinyin"": ""mèimei""}, {""Traditional"": ""妹"", ""Simplified"": ""妹"", ""Pinyin"": ""mèi""}]"
L0-1052,小孩(子),小孩(子),xiǎohái(zi),N,"[{""Traditional"": ""小孩"", ""Simplified"": ""小孩"", ""Pinyin"": ""xiǎohái""}, {""Traditional"": ""小孩子"", ""Simplified"": ""小孩子"", ""Pinyin"": ""xiǎoháizi""}]"
L0-1053,的,的,de,Ptc,
L0-1054,第,第,dì,Det,
L0-1055,分,分,fēn,M,
L0-1056,點,点,diǎn,M,
L0-1057,個,个,ge,M,
L0-1058,歲,岁,suì,M,
L0-1059,年,年,nián,M,
L0-1060,住,住,zhù,V,
L0-1061,來,来,lái,V,
L0-1062,是,是,shì,Vst,
L0-1063,姓,姓,xìng,Vst,
L0-1064,覺得,觉得,juéde,Vst,
L0-1065,喜歡,喜欢,xǐhuān,Vst,
L0-1066,打電話,打电话,dǎ diànhuà,Vi,
L0-1067,漂亮,漂亮,piàoliàng,Vs,
L0-1068,高,高,gāo,Vs,
L0-1069,老,老,lǎo,Vs,
L0-1070,好,好,hǎo,Adv,
L0-1071,很,很,hěn,Adv,
L0-1072,真,真,zhēn,Adv,
L0-1073,電腦,电脑,diànnǎo,N,
